DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,Flow_m3,CVE_ENT,CVE_MUN,NOM_MUN,CODE
SACM,488882,2127217,1,1984,1985,366,-1,0,0,31,-7803,9,13,Xochimilco,9013
SACM,487111,2126517,1,1984,1985,371,-1,0,0,31,-4122,9,13,Xochimilco,9013
SACM,489958,2126538,1,1984,1985,372,-1,0,0,31,-2061,9,13,Xochimilco,9013
SACM,486666,2126212,1,1984,1985,373,-1,0,0,31,-2390,9,13,Xochimilco,9013
SACM,489992,2126177,1,1984,1985,374,-1,0,0,31,-5742,9,13,Xochimilco,9013
SACM,492891,2126808,1,1984,1985,376,-1,0,0,31,-5777,9,13,Xochimilco,9013
SACM,488261,2127516,1,1984,1985,377,-1,0,0,31,-4996,9,13,Xochimilco,9013
SACM,486026,2130803,1,1984,1985,378,-1,0,0,31,-5079,9,13,Xochimilco,9013
SACM,485222,2130406,1,1984,1985,367,-1,0,0,31,-2475,9,13,Xochimilco,9013
SACM,496467,2128172,1,1984,1985,368,-1,0,0,31,-2239,9,13,Xochimilco,9013
SACM,493006,2128467,1,1984,1985,383,-1,0,0,31,-1693,9,13,Xochimilco,9013
SACM,492890,2127862,1,1984,1985,384,-1,0,0,31,-4996,9,13,Xochimilco,9013
SACM,497615,2129035,1,1984,1985,394,-1,0,0,31,-5719,9,13,Xochimilco,9013
SACM,497036,2129582,1,1984,1985,407,-1,0,0,31,-2797,9,13,Xochimilco,9013
SACM,497202,2129606,1,1984,1985,408,-1,0,0,31,-2086,9,13,Xochimilco,9013
SACM,497315,2129600,1,1984,1985,409,-1,0,0,31,-4610,9,13,Xochimilco,9013
SACM,497439,2129597,1,1984,1985,410,-1,0,0,31,-4856,9,13,Xochimilco,9013
SACM,496647,2129289,1,1984,1985,411,-1,0,0,31,-8519,9,13,Xochimilco,9013
SACM,496435,2128999,1,1984,1985,412,-1,0,0,31,-10254,9,13,Xochimilco,9013
SACM,496048,2129025,1,1984,1985,413,-1,0,0,31,-10714,9,13,Xochimilco,9013
SACM,495713,2128981,1,1984,1985,395,-1,0,0,31,-16510,9,13,Xochimilco,9013
SACM,495413,2128559,1,1984,1985,396,-1,0,0,31,-7877,9,13,Xochimilco,9013
SACM,495360,2128726,1,1984,1985,397,-1,0,0,31,-8399,9,13,Xochimilco,9013
SACM,494961,2128603,1,1984,1985,398,-1,0,0,31,-8170,9,13,Xochimilco,9013
SACM,492704,2128176,1,1984,1985,401,-1,0,0,31,-4110,9,13,Xochimilco,9013
SACM,492917,2128568,1,1984,1985,402,-1,0,0,31,-6084,9,13,Xochimilco,9013
SACM,492829,2128339,1,1984,1985,403,-1,0,0,31,-9991,9,13,Xochimilco,9013
SACM,491807,2127960,1,1984,1985,404,-1,0,0,31,-1832,9,13,Xochimilco,9013
SACM,490706,2127793,1,1984,1985,406,-1,0,0,31,-6676,9,13,Xochimilco,9013
SACM,496162,2128409,1,1984,1985,414,-1,0,0,31,-2729,9,13,Xochimilco,9013
SACM,489528,2127154,1,1984,1985,390,-1,0,0,31,-6552,9,13,Xochimilco,9013
SACM,487902,2127087,1,1984,1985,393,-1,0,0,31,-4122,9,13,Xochimilco,9013
SACM,492727,2127595,1,1984,1985,441,-1,0,0,31,-515,9,13,Xochimilco,9013
SACM,486440,2128685,1,1984,1985,444,-1,0,0,31,-6196,9,13,Xochimilco,9013
SACM,487217,2127605,1,1984,1985,451,-1,0,0,31,-2797,9,13,Xochimilco,9013
SACM,484817,2130992,1,1984,1985,485,-1,0,0,31,-2797,9,12,Tlalpan,9012
SACM,484526,2130414,1,1984,1985,486,-1,0,0,31,-3273,9,12,Tlalpan,9012
SACM,485444,2131291,1,1984,1985,487,-1,0,0,31,-4362,9,13,Xochimilco,9013
SACM,485285,2131689,1,1984,1985,37,-1,0,0,31,-5984,9,13,Xochimilco,9013
SACM,487741,2125198,1,1984,1985,232,-1,0,0,31,-595,9,13,Xochimilco,9013
SACM,497979,2128002,1,1984,1985,105,-1,0,0,31,-1518,9,13,Xochimilco,9013
SACM,498560,2127688,1,1984,1985,106,-1,0,0,31,-6098,9,11,Tl?íhuac,9011
SACM,499305,2127979,1,1984,1985,153,-1,0,0,31,-2954,9,11,Tl?íhuac,9011
SACM,498387,2122183,1,1984,1985,337,-1,0,0,31,-5117,9,9,Milpa Alta,9009
SACM,498543,2122563,1,1984,1985,339,-1,0,0,31,-3836,9,9,Milpa Alta,9009
SACM,498704,2122951,1,1984,1985,342,-1,0,0,31,-3377,9,9,Milpa Alta,9009
SACM,500747,2124403,1,1984,1985,482,-1,0,0,31,-1699,9,9,Milpa Alta,9009
SACM,501476,2124659,1,1984,1985,464,-1,0,0,31,-6022,9,9,Milpa Alta,9009
SACM,501597,2124497,1,1984,1985,465,-1,0,0,31,-6929,9,9,Milpa Alta,9009
SACM,502121,2124423,1,1984,1985,466,-1,0,0,31,-7744,9,9,Milpa Alta,9009
SACM,501779,2124406,1,1984,1985,467,-1,0,0,31,-5275,9,9,Milpa Alta,9009
SACM,502113,2124639,1,1984,1985,468,-1,0,0,31,-5594,9,9,Milpa Alta,9009
SACM,502326,2124457,1,1984,1985,469,-1,0,0,31,-5292,9,9,Milpa Alta,9009
SACM,502892,2124315,1,1984,1985,471,-1,0,0,31,-5540,9,9,Milpa Alta,9009
