DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,FLOW_M3D,CVE_ENT,CVE_MUN,NOM_MUN,CODE
REPDA-DF,480227.2720383010,2149627.4712134500,-0.01726027397260270000,2005,2014,126,253,361,7665,10950,-1491.2876712329,09,016,Miguel Hidalgo,09016
REPDA-DF,480285.7573272650,2149781.0855156700,-0.06958904109589040000,2005,2014,127,253,361,7665,10950,-6012.4931506849,09,016,Miguel Hidalgo,09016
REPDA-DF,480169.1562026780,2149811.9485275200,-0.08109589041095890000,2005,2014,128,253,361,7665,10950,-7006.6849315068,09,016,Miguel Hidalgo,09016
REPDA-DF,480227.5742455170,2149904.0914868800,-0.00171505580923389000,2005,2014,129,253,361,7665,10950,-148.1808219178,09,016,Miguel Hidalgo,09016
REPDA-DF,480315.1166154040,2149965.4673058900,-0.01371232876712320000,2005,2014,130,253,361,7665,10950,-1184.7452054795,09,016,Miguel Hidalgo,09016
REPDA-DF,478389.8905403760,2149322.2153778500,-0.00039726027397260200,2005,2014,131,253,361,7665,10950,-34.3232876712,09,016,Miguel Hidalgo,09016
REPDA-DF,478099.9699906490,2150705.6689082600,-0.00870833333333333000,2005,2014,132,253,361,7665,10950,-752.4000000000,09,016,Miguel Hidalgo,09016
REPDA-DF,478100.0072059010,2150736.4045530600,-0.00916666666666666000,2005,2014,133,253,361,7665,10950,-792.0000000000,09,016,Miguel Hidalgo,09016
REPDA-DF,478070.8127500850,2150705.7042356400,-0.01046423135464230000,2005,2014,134,253,361,7665,10950,-904.1095890411,09,016,Miguel Hidalgo,09016
REPDA-DF,477721.9861177910,2151566.7304046100,-0.00246575342465753000,2005,2014,135,253,361,7665,10950,-213.0410958904,09,016,Miguel Hidalgo,09016
REPDA-DF,478477.6613387780,2149567.9959468200,-0.00201880390664637000,2005,2014,136,253,361,7665,10950,-174.4246575342,09,016,Miguel Hidalgo,09016
REPDA-DF,478507.1124390280,2149813.8461512400,-0.00507356671740233000,2005,2014,137,253,361,7665,10950,-438.3561643836,09,016,Miguel Hidalgo,09016
REPDA-DF,480460.7758855700,2149842.3669596500,-0.00071210679857940100,2005,2014,138,253,361,7665,10950,-61.5260273973,09,016,Miguel Hidalgo,09016
REPDA-DF,483318.7844386780,2118428.2414041600,-0.00223490613901572000,2005,2014,139,253,361,7665,10950,-193.0958904110,09,012,Tlalpan,09012
REPDA-DF,481276.7396458520,2149380.4704391600,-0.00031709791983764500,2005,2014,140,253,361,7665,10950,-27.3972602740,09,016,Miguel Hidalgo,09016
REPDA-DF,480839.6098816240,2149626.8126517600,-0.00007772070015220700,2005,2014,141,253,361,7665,10950,-6.7150684932,09,016,Miguel Hidalgo,09016
REPDA-DF,480723.2032585990,2149842.0855421700,-0.00054042998477929900,2005,2014,142,253,361,7665,10950,-46.6931506849,09,016,Miguel Hidalgo,09016
REPDA-DF,477663.6744049940,2151566.8023545600,-0.00413150050735667000,2005,2014,143,253,361,7665,10950,-356.9616438356,09,016,Miguel Hidalgo,09016
REPDA-DF,481043.4006055310,2149319.2420781300,-0.00073541349568746800,2005,2014,144,253,361,7665,10950,-63.5397260274,09,016,Miguel Hidalgo,09016
REPDA-DF,477750.1965108160,2150798.3028963100,-0.00014091831557584900,2005,2014,145,253,361,7665,10950,-12.1753424658,09,016,Miguel Hidalgo,09016
REPDA-DF,481743.2579315960,2149349.2583894700,-0.00068493150684931500,2005,2014,146,253,361,7665,10950,-59.1780821918,09,016,Miguel Hidalgo,09016
REPDA-DF,477809.6800476550,2151751.0369008100,-0.00084760273972602700,2005,2014,147,253,361,7665,10950,-73.2328767123,09,016,Miguel Hidalgo,09016
REPDA-DF,485141.0749808640,2132411.0141346400,-0.00106906392694063000,2005,2014,148,253,361,7665,10950,-92.3671232877,09,012,Tlalpan,09012
REPDA-DF,485170.2864938050,2132441.7254131900,-0.00081012176560121700,2005,2014,149,253,361,7665,10950,-69.9945205479,09,012,Tlalpan,09012
REPDA-DF,486686.5522989570,2130473.5195518700,-0.01015369736174530000,2005,2014,150,253,361,7665,10950,-877.2794520548,09,013,Xochimilco,09013
REPDA-DF,483222.5728039140,2140895.5831774400,-0.00348807711821410000,2005,2014,151,253,361,7665,10950,-301.3698630137,09,014,Benito Ju?írez,09014
REPDA-DF,484558.3833652600,2133640.8991217100,-0.01902587519025870000,2005,2014,152,253,361,7665,10950,-1643.8356164384,09,012,Tlalpan,09012
REPDA-DF,480710.6656677730,2138039.6918725000,-0.00026737696600710200,2005,2014,153,253,361,7665,10950,-23.1013698630,09,003,Coyoac?ín,09003
REPDA-DF,488177.4903683370,2133976.2824634800,-0.00031624175545408400,2005,2014,154,253,361,7665,10950,-27.3232876712,09,012,Tlalpan,09012
REPDA-DF,485127.3849368560,2151343.9746250900,-0.00031709791983764500,2005,2014,155,253,361,7665,10950,-27.3972602740,09,015,Cuauht??moc,09015
REPDA-DF,485098.1781939380,2151282.5274586700,-0.00031709791983764500,2005,2014,156,253,361,7665,10950,-27.3972602740,09,015,Cuauht??moc,09015
REPDA-DF,483173.9530657630,2151376.4215907500,-0.01268391679350580000,2005,2014,157,253,361,7665,10950,-1095.8904109589,09,015,Cuauht??moc,09015
REPDA-DF,483203.0806123840,2151345.6588947800,-0.01323106925418560000,2005,2014,158,253,361,7665,10950,-1143.1643835616,09,015,Cuauht??moc,09015
REPDA-DF,485328.3658869930,2147501.8683824000,-0.00047602739726027300,2005,2014,159,253,361,7665,10950,-41.1287671233,09,015,Cuauht??moc,09015
REPDA-DF,483986.6412240740,2147211.0168013500,-0.00303025114155251000,2005,2014,160,253,361,7665,10950,-261.8136986301,09,015,Cuauht??moc,09015
REPDA-DF,483415.8640426450,2151283.9913257500,-0.00136986301369863000,2005,2014,161,253,361,7665,10950,-118.3561643836,09,015,Cuauht??moc,09015
REPDA-DF,483445.0596534650,2151326.9944532300,-0.00385273972602739000,2005,2014,162,253,361,7665,10950,-332.8767123288,09,015,Cuauht??moc,09015
REPDA-DF,483389.7447875620,2151416.1784663800,-0.00256849315068493000,2005,2014,163,253,361,7665,10950,-221.9178082192,09,015,Cuauht??moc,09015
REPDA-DF,483217.3992117800,2151065.9514574900,-0.02798389142567220000,2005,2014,164,253,361,7665,10950,-2417.8082191781,09,015,Cuauht??moc,09015
REPDA-DF,483494.6419563020,2151345.3905189000,-0.02536149162861490000,2005,2014,165,253,361,7665,10950,-2191.2328767123,09,015,Cuauht??moc,09015
REPDA-DF,485273.2405653150,2151436.0621213800,-0.00001639396245560620,2005,2014,166,253,361,7665,10950,-1.4164383562,09,015,Cuauht??moc,09015
REPDA-DF,485302.4214987690,2151466.7739939900,-0.00022206367326230300,2005,2014,167,253,361,7665,10950,-19.1863013699,09,015,Cuauht??moc,09015
REPDA-DF,486553.0232960560,2147285.7705314700,-0.00931506849315068000,2005,2014,168,253,361,7665,10950,-804.8219178082,09,015,Cuauht??moc,09015
REPDA-DF,511859.7875332910,2156966.4162112800,-0.00001810629122272950,2005,2014,169,253,361,7665,10950,-1.5643835616,15,099,Texcoco,15099
